,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,Class
VEIL,X16RT,PoW/PoS,108074855.26569952,300000000.0,-1.9381387122207472,-0.731800831918995,-0.3445894283101449,VEIL,2
VET,VeChainThor Authority,Proof of Authority,85985041177.0,86712634466.0,0.05334775293464814,4.550429780832049,8.342986194375644,VeChain,3
VIA,Scrypt,PoW,23173939.90280659,-1.0,0.7477474635640983,-0.6832553778071702,-0.2128637282961276,ViaCoin,0
VSYS,SPoS,SPoS,5819116935.0,-1.0,-1.8395085754456753,-0.1211267989294966,1.8252161222234538,V Systems,2
VTC,Lyra2REv2,PoW,59689473.81663466,84000000.0,1.448196889795227,-0.6286216671157295,-0.10892222001862804,Vertcoin,0
WAVES,Leased POS,LPoS,104904988.0,-1.0,-1.8886247632181905,-0.29565353286631124,1.811533411836769,Waves,2
WBBC,SHA-256,PoW,1000016730264.435,1000016730264.435,5.542565419789621,6.721219427964191,1.0670576684755668,Wibcoin,1
XCP,SHA-256,PoW,2615053.2051785,-1.0,1.6937308722792228,-0.15116697860247968,-0.024635146494771675,CounterParty,0
XDN,BMW512 / Echo512,PoW/PoS,5038250042.423337,-1.0,-1.9269660335569976,-0.7006528829139318,-0.3448773544186277,DigitalNote,2
XDNA,HEX,PoW/PoS,8830765.0,0.0,-1.9396058452124523,-0.7341381707983239,-0.34522134744587923,XDNA,2
XHV,CryptoNight-Heavy,PoW,14928269.420743112,-1.0,1.447743436785343,-0.629389125327128,-0.10910031825732577,Haven Protocol,0
XMR,RandomX,PoW,17892321.457760755,-1.0,1.4567557153858153,-0.6334274060365368,-0.10996569649174744,Monero,0
XSN,X11,TPoS,119430703.86680388,-1.0,-1.148008517690855,-0.5444601536997058,-0.07546695487652454,Stakenet,2
XVG,Multiple,PoW,16446702949.431252,16555000000.0,1.562598082135978,-0.4605274495891605,-0.07922794037561945,Verge,0
XWC,Scrypt,PoW/PoS,919995450.0,1000000000.0,-1.232218859311748,-0.7355271089613854,-0.33154649493083843,WhiteCoin,2
ZEC,Equihash,PoW,11015783.61104711,21000000.0,1.194165247677715,-0.6601956543480462,-0.11942573308674559,ZCash,0
ZEL,Equihash,PoW/PoS,440000000.0,210000000.0,-0.7884173827796842,-0.7167586952005465,-0.2389819423153011,Zelcash,2
ZEN,Equihash,PoW,10999481.25,21000000.0,1.194165223684789,-0.6601957152562559,-0.11942573365233294,Horizen,0
